BRC Query: Small,Points,Num Of Points
"[291381, 114653, 337996, 161268]",[],0
"[427247, 324359, 473862, 219328]",[],0
"[295023, 316197, 341638, 219328]",[],0
"[158932, 241419, 205547, 219328]",[],0
"[56158, 320743, 102773, 219328]",[],0
"[426464, 209916, 473079, 219328]",[],0
"[174340, 309923, 220955, 219328]",[],0
"[135050, 160333, 181665, 206948]",[],0
"[104517, 107412, 151132, 154027]",[],0
"[106017, 25404, 152632, 72019]","[(111501, 26612), (145935, 34939), (110575, 36221)]",3
"[329386, 352395, 376001, 219328]",[],0
"[144461, 257956, 191076, 219328]",[],0
"[44337, 55210, 90952, 101825]","[(45785, 56718), (59458, 97155), (72803, 67715)]",3
"[363963, 405319, 410578, 219328]",[],0
"[76392, 86524, 123007, 133139]",[],0
"[28376, 50190, 74991, 96805]","[(45785, 56718), (37985, 59118), (72803, 67715)]",3
"[374763, 291547, 421378, 219328]",[],0
"[366467, 213268, 413082, 219328]",[],0
"[377888, 283144, 424503, 219328]",[],0
"[152628, 281685, 199243, 219328]",[],0
"[131587, 120944, 178202, 167559]",[],0
"[364357, 317342, 410972, 219328]",[],0
"[228015, 312044, 274630, 219328]",[],0
"[152406, 244341, 199021, 219328]",[],0
"[266410, 354275, 313025, 219328]",[],0
"[344288, 375236, 390903, 219328]",[],0
"[424047, 195480, 470662, 219328]",[],0
"[51304, 178156, 97919, 219328]",[],0
"[329391, 68593, 376006, 115208]",[],0
"[263153, 315913, 309768, 219328]",[],0
"[338495, 183895, 385110, 219328]",[],0
"[107930, 135537, 154545, 182152]",[],0
"[16615, 391628, 63230, 219328]",[],0
"[150218, 69529, 196833, 116144]",[],0
"[377914, 123701, 424529, 170316]",[],0
"[203183, 424707, 249798, 219328]",[],0
"[97498, 182461, 144113, 219328]",[],0
"[231532, 40723, 278147, 87338]",[],0
"[60864, 418696, 107479, 219328]",[],0
"[84850, 373897, 131465, 219328]",[],0
"[122817, 31832, 169432, 78447]","[(145935, 34939)]",1
"[308988, 340623, 355603, 219328]",[],0
"[288190, 323827, 334805, 219328]",[],0
"[364941, 46912, 411556, 93527]",[],0
"[22113, 73361, 68728, 119976]","[(59458, 97155)]",1
"[341039, 106956, 387654, 153571]",[],0
"[326012, 310082, 372627, 219328]",[],0
"[70871, 213223, 117486, 219328]",[],0
"[56106, 202176, 102721, 219328]",[],0
"[68958, 27196, 115573, 73811]","[(91686, 32602), (98740, 33456), (105291, 33531), (110575, 36221), (97885, 36791), (103123, 45841), (97257, 47150), (72803, 67715)]",8
"[325575, 19460, 372190, 66075]",[],0
"[110138, 105095, 156753, 151710]",[],0
"[384615, 73073, 431230, 119688]",[],0
"[259373, 118519, 305988, 165134]",[],0
"[389355, 40143, 435970, 86758]",[],0
"[364290, 20061, 410905, 66676]",[],0
"[293453, 231263, 340068, 219328]",[],0
"[333490, 61332, 380105, 107947]",[],0
"[144389, 44819, 191004, 91434]","[(181333, 62750)]",1
"[123895, 45850, 170510, 92465]",[],0
"[347292, 165959, 393907, 212574]",[],0
"[191771, 236742, 238386, 219328]",[],0
"[102655, 40120, 149270, 86735]","[(103123, 45841)]",1
"[272167, 253028, 318782, 219328]",[],0
"[28762, 320846, 75377, 219328]",[],0
"[61028, 374763, 107643, 219328]",[],0
"[213258, 112636, 259873, 159251]",[],0
"[144501, 196103, 191116, 219328]",[],0
"[391685, 254645, 438300, 219328]",[],0
"[306839, 96944, 353454, 143559]",[],0
"[373911, 360774, 420526, 219328]",[],0
"[114764, 410428, 161379, 219328]",[],0
"[38552, 421595, 85167, 219328]",[],0
"[362641, 91063, 409256, 137678]",[],0
"[93027, 187587, 139642, 219328]",[],0
"[285713, 139549, 332328, 186164]",[],0
"[69570, 321007, 116185, 219328]",[],0
"[240016, 357086, 286631, 219328]",[],0
"[99772, 15039, 146387, 61654]","[(125111, 15411), (125429, 15748), (117428, 16207), (114056, 16475), (130706, 16530), (109712, 16598), (138819, 16651), (144008, 17433), (101506, 17559), (128703, 17618), (141934, 18755), (108072, 19082), (111501, 26612), (105291, 33531), (145935, 34939), (110575, 36221), (103123, 45841)]",17
"[255384, 365304, 301999, 219328]",[],0
"[223025, 306495, 269640, 219328]",[],0
"[274769, 171404, 321384, 218019]",[],0
"[348345, 195367, 394960, 219328]",[],0
"[211877, 352897, 258492, 219328]",[],0
"[139677, 88549, 186292, 135164]",[],0
"[302032, 370307, 348647, 219328]",[],0
"[14637, 248216, 61252, 219328]",[],0
"[396915, 49574, 443530, 96189]",[],0
"[184234, 395574, 230849, 219328]",[],0
"[32075, 293497, 78690, 219328]",[],0
"[155380, 78810, 201995, 125425]",[],0
"[134014, 407711, 180629, 219328]",[],0
"[260733, 192784, 307348, 219328]",[],0
"[328003, 159047, 374618, 205662]",[],0
"[361174, 196441, 407789, 219328]",[],0
"[317592, 340383, 364207, 219328]",[],0
"[333740, 77503, 380355, 124118]",[],0
"[383307, 170802, 429922, 217417]",[],0
"[211549, 400539, 258164, 219328]",[],0
"[225391, 349340, 272006, 219328]",[],0
"[50439, 9783, 97054, 55531]","[(50447, 9783), (50526, 9783), (51010, 9783), (51086, 9783), (51087, 9783), (51629, 9783), (52116, 9783), (52622, 9783), (52858, 9783), (52935, 9783), (53127, 9783), (53579, 9783), (54494, 9783), (54758, 9783), (54812, 9783), (54908, 9783), (55395, 9783), (55583, 9783), (55789, 9783), (55920, 9783), (56158, 9783), (56339, 9783), (56424, 9783), (56656, 9783), (57205, 9783), (57375, 9783), (57612, 9783), (57704, 9783), (57725, 9783), (57806, 9783), (58277, 9783), (58872, 9783), (59402, 9783), (60352, 9783), (60964, 9783), (61077, 9783), (61602, 9783), (61809, 9783), (61843, 9783), (62117, 9783), (62215, 9783), (62561, 9783), (62623, 9783), (62762, 9783), (62822, 9783), (63037, 9783), (63286, 9783), (63412, 9783), (63461, 9783), (63503, 9783), (63996, 9783), (64543, 9783), (64648, 9783), (64896, 9783), (65102, 9783), (65894, 9783), (66131, 9783), (66186, 9783), (66645, 9783), (67084, 9783), (67141, 9783), (67704, 9783), (67775, 9783), (67852, 9783), (68206, 9783), (68756, 9783), (68834, 9783), (69069, 9783), (68109, 10266), (53242, 10360), (53466, 10375), (64792, 10612), (58284, 10957), (57527, 11497), (53606, 11796), (51395, 11836), (57909, 12464), (69011, 12465), (52402, 12568), (57957, 12989), (65784, 13357), (67034, 13769), (53917, 14664), (65308, 14734), (51493, 15564), (54829, 15900), (51223, 16726), (63498, 17671), (63107, 18050), (53682, 18069), (50668, 19879), (64482, 19940), (54163, 20267), (55449, 20430), (53426, 21070), (60166, 21389), (58014, 21689), (60551, 27192), (53468, 27679), (59032, 35658), (50806, 40774), (69337, 9783), (69793, 9783), (70283, 9783), (70423, 9783), (70521, 9783), (70588, 9783), (70680, 9783), (71018, 9783), (71804, 9783), (72475, 9783), (72493, 9783), (72525, 9783), (72684, 9783), (72699, 9783), (72826, 9783), (72867, 9783), (72940, 9783), (73557, 9783), (73725, 9783), (74123, 9783), (74949, 9783), (75337, 9783), (76019, 9783), (76099, 9783), (77001, 9783), (77198, 9783), (77218, 9783), (77882, 9783), (78741, 9783), (79216, 9783), (79340, 9783), (79684, 9783), (80674, 9783), (80751, 9783), (81868, 9783), (82333, 9783), (82547, 9783), (82942, 9783), (83102, 9783), (83416, 9783), (83728, 9783), (84309, 9783), (84650, 9783), (85589, 9783), (85950, 9783), (86007, 9783), (86912, 9783), (88087, 9783), (88621, 9783), (89116, 9783), (90429, 9783), (90924, 9783), (91406, 9783), (91856, 9783), (92218, 9783), (92609, 9783), (92640, 9783), (93593, 9783), (93783, 9783), (93961, 9783), (94390, 9783), (94602, 9783), (95340, 9783), (95385, 9783), (96416, 9783), (96966, 9783), (74579, 10307), (75032, 10463), (72294, 10541), (69452, 10773), (82564, 10832), (70242, 10839), (93565, 10870), (85483, 11574), (96432, 13026), (94047, 13060), (70802, 13078), (92728, 13196), (80255, 14211), (69969, 14216), (95698, 14228), (88748, 14276), (81522, 14734), (84540, 14828), (83357, 14829), (89325, 14834), (78971, 14940), (81807, 15030), (88006, 15197), (80282, 15888), (79695, 15889), (76820, 16004), (91779, 16340), (84227, 16516), (75988, 16684), (82405, 16839), (70320, 17096), (78083, 18380), (78438, 19163), (89429, 19819), (77898, 21019), (73225, 23191), (93859, 24177), (73683, 24778), (85915, 25965), (91686, 32602)]",207
"[319846, 108942, 366461, 155557]",[],0
"[374375, 183439, 420990, 219328]",[],0
"[92044, 133639, 138659, 180254]",[],0
"[125084, 342297, 171699, 219328]",[],0
"[243068, 206637, 289683, 219328]","[(249218, 208706), (243245, 219327)]",2
"[380544, 361369, 427159, 219328]",[],0
"[305991, 225385, 352606, 219328]",[],0
"[24655, 219020, 71270, 219328]",[],0
"[376077, 305635, 422692, 219328]",[],0
"[227388, 412964, 274003, 219328]",[],0
"[355298, 379840, 401913, 219328]",[],0
"[32643, 94978, 79258, 141593]","[(59458, 97155)]",1
"[241609, 41611, 288224, 88226]",[],0
"[144026, 375913, 190641, 219328]",[],0
"[90790, 242140, 137405, 219328]",[],0
"[284717, 263584, 331332, 219328]",[],0
"[302454, 324775, 349069, 219328]",[],0
"[404208, 9783, 450823, 54768]","[(443074, 12940)]",1
"[28517, 267420, 75132, 219328]",[],0
"[179005, 171725, 225620, 218340]",[],0
"[252902, 34256, 299517, 80871]",[],0
"[225768, 106683, 272383, 153298]",[],0
"[295721, 340037, 342336, 219328]",[],0
"[51877, 388516, 98492, 219328]",[],0
"[76547, 15839, 123162, 62454]","[(80282, 15888), (79695, 15889), (76820, 16004), (117428, 16207), (91779, 16340), (114056, 16475), (84227, 16516), (109712, 16598), (82405, 16839), (101506, 17559), (78083, 18380), (97661, 18559), (108072, 19082), (78438, 19163), (98057, 19225), (89429, 19819), (77898, 21019), (93859, 24177), (85915, 25965), (111501, 26612), (91686, 32602), (98740, 33456), (105291, 33531), (110575, 36221), (97885, 36791), (103123, 45841), (97257, 47150)]",27
"[218784, 363854, 265399, 219328]",[],0
"[226999, 173884, 273614, 219328]","[(249218, 208706), (243245, 219327)]",2
"[9895, 120065, 56510, 166680]",[],0
"[15609, 384201, 62224, 219328]",[],0
"[403825, 9783, 450440, 55968]","[(443074, 12940)]",1
"[362410, 285122, 409025, 219328]",[],0
"[329013, 59384, 375628, 105999]",[],0
"[107972, 70456, 154587, 117071]",[],0
"[327072, 348519, 373687, 219328]",[],0
"[112196, 166670, 158811, 213285]",[],0
"[154908, 369110, 201523, 219328]",[],0
"[103653, 60640, 150268, 107255]",[],0
"[257471, 216100, 304086, 219328]",[],0
"[337180, 50765, 383795, 97380]",[],0
"[19570, 152146, 66185, 198761]",[],0
"[245608, 427455, 292223, 219328]",[],0
"[423532, 68818, 470147, 115433]",[],0
"[142590, 78067, 189205, 124682]",[],0
"[350774, 281200, 397389, 219328]",[],0
"[349314, 346251, 395929, 219328]",[],0
"[190072, 68467, 236687, 115082]",[],0
"[89088, 154083, 135703, 200698]",[],0
"[17855, 30293, 64470, 76908]","[(59032, 35658), (42096, 38413), (50806, 40774), (45785, 56718), (37985, 59118)]",5
"[29436, 115981, 76051, 162596]",[],0
"[365155, 144258, 411770, 190873]",[],0
"[300856, 173117, 347471, 219328]",[],0
"[200475, 305633, 247090, 219328]",[],0
"[30139, 400879, 76754, 219328]",[],0
"[375813, 326672, 422428, 219328]",[],0
"[351715, 267369, 398330, 219328]",[],0
"[381597, 345833, 428212, 219328]",[],0
"[248589, 343735, 295204, 219328]",[],0
"[236413, 203387, 283028, 219328]","[(249218, 208706), (243245, 219327)]",2
"[290146, 101591, 336761, 148206]",[],0
"[117087, 205028, 163702, 219328]",[],0
"[315939, 160703, 362554, 207318]",[],0
"[12781, 80708, 59396, 127323]",[],0
"[87296, 150394, 133911, 197009]",[],0
"[182919, 185070, 229534, 219328]",[],0
"[422106, 200636, 468721, 219328]",[],0
"[384817, 57246, 431432, 103861]",[],0
"[185460, 416755, 232075, 219328]",[],0
"[333457, 26815, 380072, 73430]",[],0
"[29719, 149476, 76334, 196091]",[],0
"[94027, 86454, 140642, 133069]",[],0
"[314013, 159914, 360628, 206529]",[],0
"[197336, 215101, 243951, 219328]","[(243245, 219327)]",1
"[295680, 76086, 342295, 122701]",[],0
"[161946, 68355, 208561, 114970]",[],0
"[258760, 391120, 305375, 219328]",[],0
"[133792, 33417, 180407, 80032]","[(145935, 34939)]",1
"[169534, 102272, 216149, 148887]","[(182621, 142145)]",1
"[282345, 390145, 328960, 219328]",[],0
"[45269, 166803, 91884, 213418]",[],0
"[219493, 180356, 266108, 219328]","[(249218, 208706), (243245, 219327)]",2
"[164997, 225550, 211612, 219328]",[],0
"[65081, 60231, 111696, 106846]","[(72803, 67715)]",1
"[302153, 260389, 348768, 219328]",[],0
"[256631, 184844, 303246, 219328]",[],0
"[426432, 188289, 473047, 219328]",[],0
"[73299, 259296, 119914, 219328]",[],0
"[68938, 374906, 115553, 219328]",[],0
"[269073, 231744, 315688, 219328]",[],0
"[27947, 166401, 74562, 213016]",[],0
"[183796, 393338, 230411, 219328]",[],0
"[368360, 89729, 414975, 136344]",[],0
"[95440, 336710, 142055, 219328]",[],0
"[304070, 205024, 350685, 219328]",[],0
"[343073, 53689, 389688, 100304]",[],0
"[42633, 52508, 89248, 99123]","[(45785, 56718), (59458, 97155), (72803, 67715)]",3
"[111947, 401264, 158562, 219328]",[],0
"[124015, 40180, 170630, 86795]",[],0
"[209869, 12233, 256484, 58848]","[(217026, 12784), (219818, 13637), (250983, 13907), (221990, 14496), (244062, 15465), (229026, 16672), (232460, 17215)]",7
"[59537, 214585, 106152, 219328]",[],0
"[299869, 280224, 346484, 219328]",[],0
"[160066, 243283, 206681, 219328]",[],0
"[264293, 421407, 310908, 219328]",[],0
"[314767, 382671, 361382, 219328]",[],0
"[364267, 122020, 410882, 168635]",[],0
"[229910, 51980, 276525, 98595]",[],0
"[201228, 123532, 247843, 170147]",[],0
"[144912, 314945, 191527, 219328]",[],0
"[415541, 95453, 462156, 142068]",[],0
"[234201, 108751, 280816, 155366]",[],0
"[196084, 68416, 242699, 115031]",[],0
"[41596, 376169, 88211, 219328]",[],0
"[22597, 283795, 69212, 219328]",[],0
"[244891, 402611, 291506, 219328]",[],0
"[363018, 113859, 409633, 160474]",[],0
"[70460, 268733, 117075, 219328]",[],0
"[216759, 142586, 263374, 189201]",[],0
"[116766, 344184, 163381, 219328]",[],0
"[30190, 426201, 76805, 219328]",[],0
"[121307, 334966, 167922, 219328]",[],0
"[84848, 62973, 131463, 109588]",[],0
"[111910, 248454, 158525, 219328]",[],0
"[206314, 197721, 252929, 219328]","[(249218, 208706), (243245, 219327)]",2
"[294583, 87459, 341198, 134074]",[],0
"[63034, 320718, 109649, 219328]",[],0
"[263917, 85922, 310532, 132537]",[],0
"[303765, 220929, 350380, 219328]",[],0
"[342803, 364595, 389418, 219328]",[],0
"[230016, 281390, 276631, 219328]",[],0
"[267852, 364275, 314467, 219328]",[],0
"[177179, 269443, 223794, 219328]",[],0
"[269551, 341073, 316166, 219328]",[],0
"[359425, 114018, 406040, 160633]",[],0
"[292705, 327812, 339320, 219328]",[],0
"[122817, 13205, 169432, 59820]","[(129316, 13429), (137355, 13489), (132304, 13523), (158074, 13700), (139379, 14023), (168299, 14657), (125111, 15411), (125429, 15748), (164496, 15993), (130706, 16530), (138819, 16651), (144008, 17433), (128703, 17618), (150585, 18421), (141934, 18755), (148995, 19294), (155423, 20233), (165683, 22519), (145935, 34939)]",19
"[186490, 378051, 233105, 219328]",[],0
"[399780, 174976, 446395, 219328]",[],0
"[176845, 26712, 223460, 73327]","[(181333, 62750), (200563, 62770)]",2
"[283424, 85903, 330039, 132518]",[],0
"[142797, 324045, 189412, 219328]",[],0
"[419246, 89856, 465861, 136471]",[],0
"[206824, 313749, 253439, 219328]",[],0
"[162458, 384624, 209073, 219328]",[],0
"[378459, 254758, 425074, 219328]",[],0
"[42908, 427518, 89523, 219328]",[],0
"[52494, 278926, 99109, 219328]",[],0
"[28782, 42905, 75397, 89520]","[(45785, 56718), (37985, 59118), (72803, 67715)]",3
"[126129, 76533, 172744, 123148]",[],0
"[29419, 165638, 76034, 212253]",[],0
"[16130, 405998, 62745, 219328]",[],0
"[243306, 181443, 289921, 219328]","[(249218, 208706)]",1
"[92364, 86141, 138979, 132756]",[],0
"[352093, 249674, 398708, 219328]",[],0
"[202796, 272882, 249411, 219328]",[],0
"[208516, 285888, 255131, 219328]",[],0
"[271534, 25742, 318149, 72357]",[],0
"[308991, 55642, 355606, 102257]",[],0
"[363883, 424477, 410498, 219328]",[],0
"[279697, 405446, 326312, 219328]",[],0
"[322764, 48150, 369379, 94765]",[],0
"[399741, 231655, 446356, 219328]",[],0
"[403754, 116175, 450369, 162790]",[],0
"[159984, 288829, 206599, 219328]",[],0
"[321963, 227185, 368578, 219328]",[],0
"[260935, 422849, 307550, 219328]",[],0
"[211839, 326585, 258454, 219328]",[],0
"[315553, 130575, 362168, 177190]",[],0
"[426530, 18855, 473145, 65470]","[(462771, 37243)]",1
"[352566, 9783, 399181, 54858]","[(355045, 9783), (364501, 9783), (367671, 9783), (370147, 9783), (358657, 15258)]",5
"[396480, 103521, 443095, 150136]",[],0
"[166683, 273856, 213298, 219328]",[],0
"[307100, 141527, 353715, 188142]",[],0
"[182540, 42521, 229155, 89136]","[(200563, 62770)]",1
"[266858, 145484, 313473, 192099]",[],0
"[166873, 413119, 213488, 219328]",[],0
"[222064, 209527, 268679, 219328]","[(243245, 219327)]",1
"[209275, 40758, 255890, 87373]",[],0
"[93992, 344177, 140607, 219328]",[],0
"[74869, 133396, 121484, 180011]",[],0
"[158633, 390559, 205248, 219328]",[],0
"[183242, 37229, 229857, 83844]","[(200563, 62770)]",1
"[26956, 260472, 73571, 219328]",[],0
"[227199, 81991, 273814, 128606]",[],0
"[265978, 323720, 312593, 219328]",[],0
"[384130, 50909, 430745, 97524]",[],0
"[361247, 374435, 407862, 219328]",[],0
"[87480, 193071, 134095, 219328]",[],0
"[223672, 26561, 270287, 73176]",[],0
"[328861, 252581, 375476, 219328]",[],0
"[210850, 248703, 257465, 219328]",[],0
"[32775, 61322, 79390, 107937]","[(59458, 97155), (72803, 67715)]",2
"[254998, 416090, 301613, 219328]",[],0
"[87477, 18722, 134092, 65337]","[(108072, 19082), (98057, 19225), (89429, 19819), (93859, 24177), (111501, 26612), (91686, 32602), (98740, 33456), (105291, 33531), (110575, 36221), (97885, 36791), (103123, 45841), (97257, 47150)]",12
"[25138, 321798, 71753, 219328]",[],0
"[331812, 77691, 378427, 124306]",[],0
"[338400, 177939, 385015, 219328]",[],0
"[63320, 375160, 109935, 219328]",[],0
"[296026, 348375, 342641, 219328]",[],0
"[189870, 110339, 236485, 156954]",[],0
"[209136, 418853, 255751, 219328]",[],0
"[415184, 415730, 461799, 219328]",[],0
"[265185, 66311, 311800, 112926]",[],0
"[39658, 327995, 86273, 219328]",[],0
"[375547, 253058, 422162, 219328]",[],0
"[330203, 339630, 376818, 219328]",[],0
"[185255, 349151, 231870, 219328]",[],0
"[73298, 365959, 119913, 219328]",[],0
"[382257, 334243, 428872, 219328]",[],0
"[163508, 421552, 210123, 219328]",[],0
"[74758, 211354, 121373, 219328]",[],0
"[427202, 162154, 473817, 208769]",[],0
"[399122, 365160, 445737, 219328]",[],0
"[71845, 280226, 118460, 219328]",[],0
"[419939, 107274, 466554, 153889]",[],0
"[28136, 418170, 74751, 219328]",[],0
"[213651, 241204, 260266, 219328]",[],0
"[202932, 404801, 249547, 219328]",[],0
"[107982, 246914, 154597, 219328]",[],0
"[195053, 422073, 241668, 219328]",[],0
"[339474, 47616, 386089, 94231]",[],0
"[31521, 29078, 78136, 75693]","[(59032, 35658), (42096, 38413), (50806, 40774), (45785, 56718), (37985, 59118), (72803, 67715)]",6
"[263007, 142012, 309622, 188627]",[],0
"[22092, 280779, 68707, 219328]",[],0
"[357560, 306571, 404175, 219328]",[],0
"[307903, 121352, 354518, 167967]",[],0
"[128522, 57125, 175137, 103740]",[],0
"[415144, 337069, 461759, 219328]",[],0
"[416744, 271526, 463359, 219328]",[],0
"[374333, 282692, 420948, 219328]",[],0
"[228376, 273986, 274991, 219328]",[],0
"[168188, 67594, 214803, 114209]",[],0
"[84500, 231448, 131115, 219328]",[],0
"[304870, 229396, 351485, 219328]",[],0
"[52173, 63043, 98788, 109658]","[(59458, 97155), (72803, 67715)]",2
"[226032, 41106, 272647, 87721]",[],0
"[60132, 225781, 106747, 219328]",[],0
"[413820, 89988, 460435, 136603]",[],0
"[393090, 24213, 439705, 70828]",[],0
"[423008, 242326, 469623, 219328]",[],0
"[234130, 367997, 280745, 219328]",[],0
"[226755, 23916, 273370, 70531]","[(260858, 24535)]",1
"[268491, 178247, 315106, 219328]",[],0
"[386937, 140544, 433552, 187159]",[],0
"[49293, 192930, 95908, 219328]",[],0
"[44989, 71754, 91604, 118369]","[(59458, 97155)]",1
"[196469, 370806, 243084, 219328]",[],0
"[23519, 189229, 70134, 219328]",[],0
"[190505, 101391, 237120, 148006]",[],0
"[13341, 128961, 59956, 175576]",[],0
"[199902, 45088, 246517, 91703]","[(200563, 62770)]",1
"[320901, 83242, 367516, 129857]",[],0
"[117157, 9811, 163772, 56426]","[(117247, 10175), (157004, 10618), (139551, 10641), (146929, 10643), (147676, 10916), (147078, 10944), (159341, 11095), (134002, 11278), (156028, 11367), (128706, 11613), (143615, 11672), (122199, 12087), (150853, 12820), (129316, 13429), (137355, 13489), (132304, 13523), (158074, 13700), (139379, 14023), (125111, 15411), (125429, 15748), (117428, 16207), (130706, 16530), (138819, 16651), (144008, 17433), (128703, 17618), (150585, 18421), (141934, 18755), (148995, 19294), (155423, 20233), (145935, 34939)]",30
"[115486, 353632, 162101, 219328]",[],0
"[361360, 391949, 407975, 219328]",[],0
"[72703, 400272, 119318, 219328]",[],0
"[11883, 161871, 58498, 208486]",[],0
"[201647, 369596, 248262, 219328]",[],0
"[21040, 325231, 67655, 219328]",[],0
"[130204, 82506, 176819, 129121]",[],0
"[106154, 246168, 152769, 219328]",[],0
"[67042, 258041, 113657, 219328]",[],0
"[188707, 379040, 235322, 219328]",[],0
"[143498, 76357, 190113, 122972]",[],0
"[22763, 117231, 69378, 163846]",[],0
"[198035, 183760, 244650, 219328]","[(243245, 219327)]",1
"[256299, 161540, 302914, 208155]",[],0
"[163487, 298155, 210102, 219328]",[],0
"[341519, 179550, 388134, 219328]",[],0
"[104609, 319029, 151224, 219328]",[],0
"[50484, 61898, 97099, 108513]","[(59458, 97155), (72803, 67715)]",2
"[287681, 312649, 334296, 219328]",[],0
"[169473, 90117, 216088, 136732]",[],0
"[205558, 85148, 252173, 131763]",[],0
"[73776, 124937, 120391, 171552]",[],0
"[173735, 274629, 220350, 219328]",[],0
"[135434, 132193, 182049, 178808]",[],0
"[403880, 104556, 450495, 151171]",[],0
"[160716, 203394, 207331, 219328]",[],0
"[228205, 355822, 274820, 219328]",[],0
"[32368, 77445, 78983, 124060]","[(59458, 97155)]",1
"[323323, 18890, 369938, 65505]",[],0
"[214582, 48970, 261197, 95585]",[],0
"[376256, 46500, 422871, 93115]",[],0
"[77333, 228439, 123948, 219328]",[],0
"[165081, 296882, 211696, 219328]",[],0
"[226613, 396550, 273228, 219328]",[],0
"[82714, 318011, 129329, 219328]",[],0
"[229465, 164369, 276080, 210984]","[(249218, 208706)]",1
"[342070, 194010, 388685, 219328]",[],0
"[52448, 138171, 99063, 184786]",[],0
"[241326, 339875, 287941, 219328]",[],0
"[201713, 342111, 248328, 219328]",[],0
"[285574, 38450, 332189, 85065]",[],0
"[205475, 222354, 252090, 219328]",[],0
"[12535, 226863, 59150, 219328]",[],0
"[389893, 176240, 436508, 219328]",[],0
"[239483, 115066, 286098, 161681]",[],0
"[202940, 161896, 249555, 208511]",[],0
"[254997, 55856, 301612, 102471]",[],0
"[105350, 425721, 151965, 219328]",[],0
"[65062, 153329, 111677, 199944]",[],0
"[66920, 300764, 113535, 219328]",[],0
"[325597, 368932, 372212, 219328]",[],0
"[88793, 425270, 135408, 219328]",[],0
"[376480, 242035, 423095, 219328]",[],0
"[217190, 105309, 263805, 151924]",[],0
"[410581, 229211, 457196, 219328]",[],0
"[234460, 99729, 281075, 146344]",[],0
"[138118, 245853, 184733, 219328]",[],0
"[186578, 282502, 233193, 219328]",[],0
"[82863, 194431, 129478, 219328]",[],0
"[250566, 339213, 297181, 219328]",[],0
"[342247, 53467, 388862, 100082]",[],0
"[261499, 403972, 308114, 219328]",[],0
"[114882, 162639, 161497, 209254]",[],0
"[9083, 374589, 55698, 219328]",[],0
"[243568, 332512, 290183, 219328]",[],0
"[250343, 12194, 296958, 58809]","[(250983, 13907), (286201, 14322), (277400, 19941), (260858, 24535)]",4
"[122796, 164648, 169411, 211263]",[],0
"[68125, 411102, 114740, 219328]",[],0
"[337852, 166011, 384467, 212626]",[],0
"[293963, 327492, 340578, 219328]",[],0
"[90021, 230524, 136636, 219328]",[],0
"[378418, 402042, 425033, 219328]",[],0
"[255284, 56641, 301899, 103256]",[],0
"[363677, 269044, 410292, 219328]",[],0
"[406622, 129941, 453237, 176556]",[],0
"[293193, 407621, 339808, 219328]",[],0
"[220613, 154963, 267228, 201578]",[],0
"[339501, 19451, 386116, 66066]",[],0
"[71467, 149715, 118082, 196330]",[],0
"[358597, 29375, 405212, 75990]",[],0
"[8249, 142636, 54864, 189251]",[],0
"[217008, 283945, 263623, 219328]",[],0
"[313051, 380342, 359666, 219328]",[],0
"[215858, 241207, 262473, 219328]",[],0
"[61611, 399524, 108226, 219328]",[],0
"[140556, 193621, 187171, 219328]",[],0
"[156698, 404071, 203313, 219328]",[],0
