SRC_random Query: Medium,Depth,BBoxes,Data Size
"[120944, 364357, 214175, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[317342, 228015, 410573, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[312044, 152406, 405275, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[244341, 266410, 337572, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[354275, 344288, 447506, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[375236, 195480, 468467, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[51304, 178156, 144535, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[329391, 68593, 422622, 161824]",1,"[69337, 9783, 474275, 219328]",309
"[263153, 315913, 356384, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[338495, 183895, 431726, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[107930, 135537, 201161, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[16615, 150218, 109846, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[69529, 377914, 162760, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[123701, 203183, 216932, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[97498, 182461, 190729, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[231532, 40723, 324763, 133954]",1,"[69337, 9783, 474275, 219328]",309
"[60864, 84850, 154095, 178081]",0,"[8117, 9783, 474275, 219328]",617
"[373897, 122817, 467128, 216048]",1,"[69337, 9783, 474275, 219328]",309
"[31832, 308988, 125063, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[340623, 288190, 433854, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[323827, 364941, 417058, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[46912, 22113, 140143, 115344]",0,"[8117, 9783, 474275, 219328]",617
"[73361, 341039, 166592, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[106956, 326012, 200187, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[310082, 70871, 403313, 164102]",1,"[69337, 9783, 474275, 219328]",309
"[213223, 56106, 306454, 149337]",1,"[69337, 9783, 474275, 219328]",309
"[202176, 68958, 295407, 162189]",1,"[69337, 9783, 474275, 219328]",309
"[27196, 325575, 120427, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[19460, 110138, 112691, 203369]",0,"[8117, 9783, 474275, 219328]",617
"[105095, 73073, 198326, 166304]",1,"[69337, 9783, 474275, 219328]",309
"[259373, 118519, 352604, 211750]",1,"[69337, 9783, 474275, 219328]",309
"[40143, 364290, 133374, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[20061, 293453, 113292, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[231263, 333490, 324494, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[61332, 144389, 154563, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[44819, 123895, 138050, 217126]",0,"[8117, 9783, 474275, 219328]",617
"[45850, 347292, 139081, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[165959, 191771, 259190, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[236742, 102655, 329973, 195886]",1,"[69337, 9783, 474275, 219328]",309
"[40120, 272167, 133351, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[253028, 28762, 346259, 121993]",1,"[69337, 9783, 474275, 219328]",309
"[320846, 61028, 414077, 154259]",1,"[69337, 9783, 474275, 219328]",309
"[374763, 213258, 467994, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[112636, 144501, 205867, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[196103, 254645, 289334, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[306839, 96944, 400070, 190175]",1,"[69337, 9783, 474275, 219328]",309
"[373911, 360774, 467142, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[114764, 38552, 207995, 131783]",1,"[69337, 9783, 474275, 219328]",309
"[362641, 91063, 455872, 184294]",1,"[69337, 9783, 474275, 219328]",309
"[93027, 187587, 186258, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[285713, 139549, 378944, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[69570, 321007, 162801, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[240016, 357086, 333247, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[99772, 15039, 193003, 108270]",1,"[69337, 9783, 474275, 219328]",309
"[255384, 365304, 348615, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[223025, 306495, 316256, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[274769, 171404, 368000, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[348345, 195367, 441576, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[211877, 352897, 305108, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[139677, 88549, 232908, 181780]",1,"[69337, 9783, 474275, 219328]",309
"[302032, 370307, 395263, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[14637, 248216, 107868, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[49574, 184234, 142805, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[32075, 293497, 125306, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[155380, 78810, 248611, 172041]",1,"[69337, 9783, 474275, 219328]",309
"[134014, 260733, 227245, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[192784, 328003, 286015, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[159047, 361174, 252278, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[196441, 317592, 289672, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[340383, 333740, 433614, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[77503, 170802, 170734, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[211549, 225391, 304780, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[349340, 50439, 442571, 143670]",1,"[69337, 9783, 474275, 219328]",309
"[8916, 319846, 102147, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[108942, 374375, 202173, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[183439, 92044, 276670, 185275]",1,"[69337, 9783, 474275, 219328]",309
"[133639, 125084, 226870, 218315]",1,"[69337, 9783, 474275, 219328]",309
"[342297, 243068, 435528, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[206637, 380544, 299868, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[361369, 305991, 454600, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[225385, 24655, 318616, 117886]",1,"[69337, 9783, 474275, 219328]",309
"[219020, 376077, 312251, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[305635, 227388, 398866, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[355298, 379840, 448529, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[32643, 94978, 125874, 188209]",0,"[8117, 9783, 474275, 219328]",617
"[241609, 41611, 334840, 134842]",1,"[69337, 9783, 474275, 219328]",309
"[144026, 375913, 237257, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[90790, 242140, 184021, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[284717, 263584, 377948, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[302454, 324775, 395685, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[8153, 28517, 101384, 121748]",0,"[8117, 9783, 474275, 219328]",617
"[267420, 179005, 360651, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[171725, 252902, 264956, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[34256, 225768, 127487, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[106683, 295721, 199914, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[340037, 51877, 433268, 145108]",1,"[69337, 9783, 474275, 219328]",309
"[76547, 15839, 169778, 109070]",1,"[69337, 9783, 474275, 219328]",309
"[218784, 363854, 312015, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[226999, 173884, 320230, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[9895, 120065, 103126, 213296]",0,"[8117, 9783, 474275, 219328]",617
"[15609, 9783, 108840, 102584]",0,"[8117, 9783, 474275, 219328]",617
"[362410, 285122, 455641, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[329013, 59384, 422244, 152615]",1,"[69337, 9783, 474275, 219328]",309
"[107972, 70456, 201203, 163687]",1,"[69337, 9783, 474275, 219328]",309
"[327072, 348519, 420303, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[112196, 166670, 205427, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[154908, 369110, 248139, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[103653, 60640, 196884, 153871]",1,"[69337, 9783, 474275, 219328]",309
"[257471, 216100, 350702, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[337180, 50765, 430411, 143996]",1,"[69337, 9783, 474275, 219328]",309
"[19570, 152146, 112801, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[245608, 68818, 338839, 162049]",1,"[69337, 9783, 474275, 219328]",309
"[142590, 78067, 235821, 171298]",1,"[69337, 9783, 474275, 219328]",309
"[350774, 281200, 444005, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[349314, 346251, 442545, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[190072, 68467, 283303, 161698]",1,"[69337, 9783, 474275, 219328]",309
"[89088, 154083, 182319, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[17855, 30293, 111086, 123524]",0,"[8117, 9783, 474275, 219328]",617
"[29436, 115981, 122667, 209212]",0,"[8117, 9783, 474275, 219328]",617
"[365155, 144258, 458386, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[300856, 173117, 394087, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[200475, 305633, 293706, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[30139, 375813, 123370, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[326672, 351715, 419903, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[267369, 345833, 360600, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[248589, 343735, 341820, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[236413, 203387, 329644, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[290146, 101591, 383377, 194822]",1,"[69337, 9783, 474275, 219328]",309
"[117087, 205028, 210318, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[315939, 160703, 409170, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[12781, 80708, 106012, 173939]",0,"[8117, 9783, 474275, 219328]",617
"[87296, 150394, 180527, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[182919, 185070, 276150, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[200636, 57246, 293867, 150477]",1,"[69337, 9783, 474275, 219328]",309
"[185460, 333457, 278691, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[26815, 29719, 120046, 122950]",0,"[8117, 9783, 474275, 219328]",617
"[149476, 94027, 242707, 187258]",1,"[69337, 9783, 474275, 219328]",309
"[86454, 314013, 179685, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[159914, 197336, 253145, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[215101, 295680, 308332, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[76086, 161946, 169317, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[68355, 258760, 161586, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[133792, 33417, 227023, 126648]",1,"[69337, 9783, 474275, 219328]",309
"[169534, 102272, 262765, 195503]",1,"[69337, 9783, 474275, 219328]",309
"[282345, 45269, 375576, 138500]",1,"[69337, 9783, 474275, 219328]",309
"[166803, 219493, 260034, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[180356, 164997, 273587, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[225550, 65081, 318781, 158312]",1,"[69337, 9783, 474275, 219328]",309
"[60231, 302153, 153462, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[260389, 256631, 353620, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[184844, 188289, 278075, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[73299, 259296, 166530, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[68938, 374906, 162169, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[269073, 231744, 362304, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[27947, 166401, 121178, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[183796, 368360, 277027, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[89729, 95440, 182960, 188671]",1,"[69337, 9783, 474275, 219328]",309
"[336710, 304070, 429941, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[205024, 343073, 298255, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[53689, 42633, 146920, 135864]",0,"[8117, 9783, 474275, 219328]",617
"[52508, 111947, 145739, 205178]",0,"[8117, 9783, 474275, 219328]",617
"[124015, 40180, 217246, 133411]",1,"[69337, 9783, 474275, 219328]",309
"[209869, 12233, 303100, 105464]",1,"[69337, 9783, 474275, 219328]",309
"[59537, 214585, 152768, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[299869, 280224, 393100, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[160066, 243283, 253297, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[264293, 314767, 357524, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[364267, 122020, 457498, 215251]",1,"[69337, 9783, 474275, 219328]",309
"[229910, 51980, 323141, 145211]",1,"[69337, 9783, 474275, 219328]",309
"[201228, 123532, 294459, 216763]",1,"[69337, 9783, 474275, 219328]",309
"[144912, 314945, 238143, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[95453, 234201, 188684, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[108751, 196084, 201982, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[68416, 41596, 161647, 134827]",0,"[8117, 9783, 474275, 219328]",617
"[376169, 22597, 469400, 115828]",1,"[69337, 9783, 474275, 219328]",309
"[283795, 244891, 377026, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[363018, 113859, 456249, 207090]",1,"[69337, 9783, 474275, 219328]",309
"[70460, 268733, 163691, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[216759, 142586, 309990, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[116766, 344184, 209997, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[30190, 121307, 123421, 214538]",0,"[8117, 9783, 474275, 219328]",617
"[334966, 84848, 428197, 178079]",1,"[69337, 9783, 474275, 219328]",309
"[62973, 111910, 156204, 205141]",0,"[8117, 9783, 474275, 219328]",617
"[248454, 206314, 341685, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[197721, 294583, 290952, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[87459, 63034, 180690, 156265]",1,"[69337, 9783, 474275, 219328]",309
"[320718, 263917, 413949, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[85922, 303765, 179153, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[220929, 342803, 314160, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[364595, 230016, 457826, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[281390, 267852, 374621, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[364275, 177179, 457506, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[269443, 269551, 362674, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[341073, 359425, 434304, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[114018, 292705, 207249, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[327812, 122817, 421043, 216048]",1,"[69337, 9783, 474275, 219328]",309
"[13205, 186490, 106436, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[378051, 174976, 471282, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[176845, 26712, 270076, 119943]",1,"[69337, 9783, 474275, 219328]",309
"[283424, 85903, 376655, 179134]",1,"[69337, 9783, 474275, 219328]",309
"[142797, 324045, 236028, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[89856, 206824, 183087, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[313749, 162458, 406980, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[378459, 254758, 471690, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[42908, 52494, 136139, 145725]",0,"[8117, 9783, 474275, 219328]",617
"[278926, 28782, 372157, 122013]",1,"[69337, 9783, 474275, 219328]",309
"[42905, 126129, 136136, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[76533, 29419, 169764, 122650]",1,"[69337, 9783, 474275, 219328]",309
"[165638, 16130, 258869, 109361]",1,"[69337, 9783, 474275, 219328]",309
"[243306, 181443, 336537, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[92364, 86141, 185595, 179372]",1,"[69337, 9783, 474275, 219328]",309
"[352093, 249674, 445324, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[202796, 272882, 296027, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[208516, 285888, 301747, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[271534, 25742, 364765, 118973]",1,"[69337, 9783, 474275, 219328]",309
"[308991, 55642, 402222, 148873]",1,"[69337, 9783, 474275, 219328]",309
"[363883, 279697, 457114, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[322764, 48150, 415995, 141381]",1,"[69337, 9783, 474275, 219328]",309
"[231655, 116175, 324886, 209406]",1,"[69337, 9783, 474275, 219328]",309
"[159984, 288829, 253215, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[321963, 227185, 415194, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[260935, 211839, 354166, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[326585, 315553, 419816, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[130575, 18855, 223806, 112086]",1,"[69337, 9783, 474275, 219328]",309
"[352566, 9783, 445797, 101474]",1,"[69337, 9783, 474275, 219328]",309
"[103521, 166683, 196752, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[273856, 307100, 367087, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[141527, 182540, 234758, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[42521, 266858, 135752, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[145484, 166873, 238715, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[222064, 209527, 315295, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[209275, 40758, 302506, 133989]",1,"[69337, 9783, 474275, 219328]",309
"[93992, 344177, 187223, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[74869, 133396, 168100, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[158633, 183242, 251864, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[37229, 26956, 130460, 120187]",0,"[8117, 9783, 474275, 219328]",617
"[260472, 227199, 353703, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[81991, 265978, 175222, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[323720, 50909, 416951, 144140]",1,"[69337, 9783, 474275, 219328]",309
"[361247, 374435, 454478, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[87480, 193071, 180711, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[223672, 26561, 316903, 119792]",1,"[69337, 9783, 474275, 219328]",309
"[328861, 252581, 422092, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[210850, 248703, 304081, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[32775, 61322, 126006, 154553]",0,"[8117, 9783, 474275, 219328]",617
"[254998, 87477, 348229, 180708]",1,"[69337, 9783, 474275, 219328]",309
"[18722, 25138, 111953, 118369]",0,"[8117, 9783, 474275, 219328]",617
"[321798, 331812, 415029, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[77691, 338400, 170922, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[177939, 63320, 271170, 156551]",1,"[69337, 9783, 474275, 219328]",309
"[375160, 296026, 468391, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[348375, 189870, 441606, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[110339, 209136, 203570, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[265185, 66311, 358416, 159542]",1,"[69337, 9783, 474275, 219328]",309
"[39658, 327995, 132889, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[375547, 253058, 468778, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[330203, 339630, 423434, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[185255, 349151, 278486, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[73298, 365959, 166529, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[334243, 163508, 427474, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[74758, 211354, 167989, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[162154, 365160, 255385, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[71845, 280226, 165076, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[107274, 28136, 200505, 121367]",1,"[69337, 9783, 474275, 219328]",309
"[213651, 241204, 306882, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[202932, 107982, 296163, 201213]",1,"[69337, 9783, 474275, 219328]",309
"[246914, 195053, 340145, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[339474, 47616, 432705, 140847]",1,"[69337, 9783, 474275, 219328]",309
"[31521, 29078, 124752, 122309]",0,"[8117, 9783, 474275, 219328]",617
"[263007, 142012, 356238, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[22092, 280779, 115323, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[357560, 306571, 450791, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[307903, 121352, 401134, 214583]",1,"[69337, 9783, 474275, 219328]",309
"[128522, 57125, 221753, 150356]",1,"[69337, 9783, 474275, 219328]",309
"[337069, 271526, 430300, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[374333, 282692, 467564, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[228376, 273986, 321607, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[168188, 67594, 261419, 160825]",1,"[69337, 9783, 474275, 219328]",309
"[84500, 231448, 177731, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[304870, 229396, 398101, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[52173, 63043, 145404, 156274]",0,"[8117, 9783, 474275, 219328]",617
"[226032, 41106, 319263, 134337]",1,"[69337, 9783, 474275, 219328]",309
"[60132, 225781, 153363, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[89988, 24213, 183219, 117444]",1,"[69337, 9783, 474275, 219328]",309
"[242326, 234130, 335557, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[367997, 226755, 461228, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[23916, 268491, 117147, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[178247, 140544, 271478, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[49293, 192930, 142524, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[44989, 71754, 138220, 164985]",0,"[8117, 9783, 474275, 219328]",617
